Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
2324,D2,2023-07-28,Hamburg,Schalke 04,5,3,H,31.0,11.0,14.0,6.0
2324,D2,2023-07-29,Fortuna Dusseldorf,Hertha,1,0,H,9.0,12.0,2.0,4.0
2324,D2,2023-07-29,Hannover,Elversberg,2,2,D,10.0,23.0,4.0,9.0
2324,D2,2023-07-29,Kaiserslautern,St Pauli,1,2,A,10.0,14.0,3.0,5.0
2324,D2,2023-07-29,Osnabruck,Karlsruhe,2,3,A,18.0,14.0,7.0,8.0
2324,D2,2023-07-29,Wehen,Magdeburg,1,1,D,9.0,11.0,1.0,3.0
2324,D2,2023-07-30,Braunschweig,Holstein Kiel,0,1,A,9.0,15.0,2.0,4.0
2324,D2,2023-07-30,Greuther Furth,Paderborn,5,0,H,24.0,7.0,11.0,0.0
2324,D2,2023-07-30,Hansa Rostock,Nurnberg,2,0,H,14.0,18.0,4.0,7.0
2324,D2,2023-08-04,Hertha,Wehen,0,1,A,21.0,12.0,8.0,5.0
2324,D2,2023-08-04,Paderborn,Osnabruck,1,1,D,15.0,15.0,5.0,5.0
2324,E1,2023-08-04,Sheffield Weds,Southampton,1,2,A,8.0,23.0,1.0,7.0
2324,D2,2023-08-05,Elversberg,Hansa Rostock,1,2,A,13.0,17.0,4.0,5.0
2324,D2,2023-08-05,Holstein Kiel,Greuther Furth,2,1,H,9.0,15.0,4.0,2.0
2324,D2,2023-08-05,Schalke 04,Kaiserslautern,3,0,H,16.0,10.0,8.0,4.0
2324,D2,2023-08-05,St Pauli,Fortuna Dusseldorf,0,0,D,13.0,10.0,5.0,3.0
2324,E1,2023-08-05,Blackburn,West Brom,2,1,H,12.0,14.0,3.0,4.0
2324,E1,2023-08-05,Bristol City,Preston,1,1,D,5.0,11.0,2.0,3.0
2324,E1,2023-08-05,Middlesbrough,Millwall,0,1,A,16.0,12.0,2.0,2.0
2324,E1,2023-08-05,Norwich,Hull,2,1,H,28.0,8.0,5.0,3.0
2324,E1,2023-08-05,Plymouth,Huddersfield,3,1,H,14.0,15.0,7.0,3.0
2324,E1,2023-08-05,Stoke,Rotherham,4,1,H,15.0,6.0,6.0,3.0
2324,E1,2023-08-05,Swansea,Birmingham,1,1,D,11.0,11.0,6.0,5.0
2324,E1,2023-08-05,Watford,QPR,4,0,H,23.0,4.0,12.0,1.0
2324,F2,2023-08-05,Ajaccio,Rodez,1,1,D,19.0,8.0,6.0,3.0
2324,F2,2023-08-05,Amiens,Quevilly Rouen,1,0,H,5.0,6.0,2.0,2.0
2324,F2,2023-08-05,Annecy,Guingamp,1,4,A,11.0,15.0,4.0,8.0
2324,F2,2023-08-05,Concarneau,Bastia,0,0,D,13.0,8.0,3.0,1.0
2324,F2,2023-08-05,Dunkerque,Troyes,2,2,D,16.0,14.0,5.0,7.0
2324,F2,2023-08-05,Laval,Angers,1,0,H,13.0,6.0,5.0,2.0
2324,F2,2023-08-05,Paris FC,Caen,0,2,A,2.0,12.0,0.0,5.0
2324,F2,2023-08-05,St Etienne,Grenoble,0,1,A,17.0,13.0,4.0,5.0
2324,F2,2023-08-05,Valenciennes,Auxerre,1,4,A,12.0,19.0,5.0,6.0
2324,D2,2023-08-06,Karlsruhe,Hamburg,2,2,D,17.0,13.0,4.0,7.0
2324,D2,2023-08-06,Magdeburg,Braunschweig,2,1,H,14.0,9.0,5.0,4.0
2324,D2,2023-08-06,Nurnberg,Hannover,2,2,D,8.0,19.0,3.0,6.0
2324,E1,2023-08-06,Leeds,Cardiff,2,2,D,25.0,7.0,6.0,2.0
2324,E1,2023-08-06,Leicester,Coventry,2,1,H,20.0,20.0,7.0,6.0
2324,E1,2023-08-06,Sunderland,Ipswich,1,2,A,20.0,13.0,4.0,5.0
2324,F2,2023-08-07,Pau FC,Bordeaux,3,0,H,7.0,15.0,4.0,6.0
2324,SP2,2023-08-11,Amorebieta,Levante,1,1,D,11.0,7.0,3.0,2.0
2324,SP2,2023-08-11,Valladolid,Sp Gijon,2,0,H,17.0,11.0,5.0,4.0
2324,E1,2023-08-12,Birmingham,Leeds,1,0,H,10.0,7.0,2.0,1.0
2324,E1,2023-08-12,Cardiff,QPR,1,2,A,15.0,7.0,4.0,3.0
2324,E1,2023-08-12,Coventry,Middlesbrough,3,0,H,12.0,14.0,5.0,2.0
2324,E1,2023-08-12,Huddersfield,Leicester,0,1,A,13.0,17.0,3.0,6.0
2324,E1,2023-08-12,Hull,Sheffield Weds,4,2,H,16.0,6.0,7.0,2.0
2324,E1,2023-08-12,Ipswich,Stoke,2,0,H,22.0,9.0,10.0,2.0
2324,E1,2023-08-12,Millwall,Bristol City,0,1,A,10.0,13.0,2.0,1.0
2324,E1,2023-08-12,Preston,Sunderland,2,1,H,11.0,13.0,2.0,4.0
2324,E1,2023-08-12,Rotherham,Blackburn,2,2,D,9.0,21.0,3.0,6.0
2324,E1,2023-08-12,Southampton,Norwich,4,4,D,31.0,15.0,11.0,6.0
2324,E1,2023-08-12,Watford,Plymouth,0,0,D,20.0,13.0,3.0,5.0
2324,E1,2023-08-12,West Brom,Swansea,3,2,H,11.0,13.0,3.0,4.0
2324,F2,2023-08-12,Angers,Annecy,0,0,D,12.0,5.0,1.0,2.0
2324,F2,2023-08-12,Auxerre,Amiens,0,1,A,15.0,7.0,0.0,1.0
2324,F2,2023-08-12,Bastia,Valenciennes,3,0,H,15.0,3.0,7.0,1.0
2324,F2,2023-08-12,Caen,Pau FC,2,0,H,23.0,7.0,5.0,2.0
2324,F2,2023-08-12,Grenoble,Paris FC,2,0,H,11.0,3.0,7.0,3.0
2324,F2,2023-08-12,Guingamp,Dunkerque,0,1,A,16.0,9.0,3.0,5.0
2324,F2,2023-08-12,Quevilly Rouen,Ajaccio,0,1,A,4.0,3.0,2.0,3.0
2324,F2,2023-08-12,Rodez,St Etienne,2,1,H,21.0,15.0,7.0,8.0
2324,F2,2023-08-12,Troyes,Laval,3,1,H,9.0,19.0,6.0,3.0
2324,SP2,2023-08-12,Elche,Ferrol,0,1,A,14.0,10.0,1.0,2.0
2324,SP2,2023-08-12,Santander,Eibar,4,0,H,11.0,14.0,8.0,3.0
2324,SP2,2023-08-12,Zaragoza,Villarreal B,2,0,H,16.0,11.0,7.0,2.0
2324,SP2,2023-08-13,Albacete,Espanol,1,1,D,17.0,8.0,6.0,3.0
2324,SP2,2023-08-13,Burgos,Huesca,1,1,D,19.0,4.0,5.0,2.0
2324,SP2,2023-08-13,Cartagena,Eldense,0,1,A,12.0,8.0,2.0,2.0
2324,SP2,2023-08-13,Leganes,Andorra,0,1,A,12.0,13.0,4.0,3.0
2324,F2,2023-08-14,Bordeaux,Concarneau,1,0,H,16.0,10.0,5.0,4.0
2324,SP2,2023-08-14,Mirandes,Alcorcon,4,0,H,17.0,18.0,6.0,6.0
2324,SP2,2023-08-14,Tenerife,Oviedo,1,0,H,10.0,7.0,3.0,0.0
2324,D2,2023-08-18,Kaiserslautern,Elversberg,3,2,H,20.0,21.0,8.0,9.0
2324,D2,2023-08-18,Wehen,Karlsruhe,1,0,H,11.0,15.0,4.0,7.0
2324,E1,2023-08-18,Leeds,West Brom,1,1,D,16.0,4.0,4.0,2.0
2324,I2,2023-08-18,Bari,Palermo,0,0,D,11.0,16.0,3.0,2.0
2324,SP2,2023-08-18,Andorra,Cartagena,3,2,H,17.0,5.0,5.0,3.0
2324,SP2,2023-08-18,Zaragoza,Valladolid,1,0,H,12.0,11.0,5.0,5.0
2324,D2,2023-08-19,Fortuna Dusseldorf,Paderborn,1,2,A,26.0,10.0,6.0,6.0
2324,D2,2023-08-19,Greuther Furth,St Pauli,0,0,D,16.0,6.0,2.0,1.0
2324,D2,2023-08-19,Hamburg,Hertha,3,0,H,27.0,11.0,7.0,2.0
2324,D2,2023-08-19,Hansa Rostock,Hannover,1,2,A,10.0,8.0,2.0,2.0
2324,E1,2023-08-19,Blackburn,Hull,1,2,A,14.0,19.0,3.0,5.0
